220, 1878 580 2003 613 -3.067121 -0.941368 0.021679 0.053659;
221, 1628 515 1753 613 -3.88025 -0.837134 0.021679 0.15935;
222, 1503 482 1628 613 -4.286814 -0.781759 0.021679 0.213008;
223, 1252 460 1377 547 -5.103196 -0.638436 0.021679 0.141463;
224, 1377 460 1502 514 -4.696631 -0.586319 0.021679 0.087805;
225, 1002 460 1127 613 -5.916324 -0.745928 0.021679 0.24878;
226, -1 -1 -1 -1 -9.380253 1.003257 0. 0.;
227, 1252 460 1502 493 -4.898287 -0.550489 0.043358 0.053659;
228, 1002 427 1252 460 -5.711416 -0.442997 0.043358 0.053659;
229, 1252 515 1377 613 -5.103196 -0.837134 0.021679 0.15935;
230, 1377 482 1502 613 -4.696631 -0.781759 0.021679 0.213008;
231, 1127 547 1252 613 -5.50976 -0.889251 0.021679 0.107317;
232, 876 460 1002 613 -6.322889 -0.745928 0.021852 0.24878;
233, 626 460 751 547 -7.13927 -0.638436 0.021679 0.141463;
234, 501 460 626 515 -7.545834 -0.586319 0.021679 0.089431;
235, 752 307 1001 340 -6.527797 -0.052117 0.043184 0.053659;
236, 501 427 751 460 -7.340926 -0.442997 0.043358 0.053659;
237, 751 460 1001 493 -6.527797 -0.550489 0.043358 0.053659;
238, 751 548 876 613 -6.732706 -0.889251 0.021679 0.105691;
239, 876 580 1001 613 -6.326141 -0.941368 0.021679 0.053659;
240, 626 515 751 613 -7.13927 -0.837134 0.021679 0.15935;
241, 501 482 626 613 -7.545834 -0.781759 0.021679 0.213008;
242, 250 460 376 547 -8.358963 -0.638436 0.021852 0.141463;
243, 125 460 250 580 -8.76878 -0.693811 0.021679 0.195122;
244, 0 427 250 460 -8.970436 -0.442997 0.043358 0.053659;
245, 251 307 500 340 -8.157307 -0.052117 0.043184 0.053659;
246, 251 460 501 493 -8.154054 -0.550489 0.043358 0.053659;
247, 250 515 376 613 -8.358963 -0.837134 0.021852 0.15935;
248, 376 482 501 613 -7.952399 -0.781759 0.021679 0.213008;
249, 125 547 250 613 -8.76878 -0.889251 0.021679 0.107317;
250, 3381 1 3506 154 1.821408 0.749186 0.021679 0.24878;
251, -1 -1 -1 -1 -9.380253 1.003257 0. 0.;
252, 2630 1 2754 154 -0.62123 0.749186 0.021505 0.24878;
253, -1 -1 -1 -1 -9.380253 1.003257 0. 0.;
254, 1878 1 2003 154 -3.067121 0.749186 0.021679 0.24878;
255, 1503 1 1628 154 -4.286814 0.749186 0.021679 0.24878;
256, 1127 1 1252 154 -5.50976 0.749186 0.021679 0.24878;
257, 751 1 876 154 -6.732706 0.749186 0.021679 0.24878;
258, 376 1 501 154 -7.952399 0.749186 0.021679 0.24878;
259, 0 1 125 154 -9.175344 0.749186 0.021679 0.24878;
260, 3506 1 3631 154 2.227973 0.749186 0.021679 0.24878;
261, 3130 1 3255 154 1.005027 0.749186 0.021679 0.24878;
262, 2755 1 2880 154 -0.214666 0.749186 0.021679 0.24878;
263, 2379 1 2504 154 -1.437612 0.749186 0.021679 0.24878;
264, 2004 1 2128 153 -2.657305 0.749186 0.021505 0.247154;
265, 1628 1 1753 154 -3.88025 0.749186 0.021679 0.24878;
266, 1252 1 1377 154 -5.103196 0.749186 0.021679 0.24878;
267, 877 1 1002 154 -6.322889 0.749186 0.021679 0.24878;
268, 501 1 626 154 -7.545834 0.749186 0.021679 0.24878;
269, 125 1 250 154 -8.76878 0.749186 0.021679 0.24878;
270, 3631 1 3756 154 2.634537 0.749186 0.021679 0.24878;
271, -1 -1 -1 -1 -9.380253 1.003257 0. 0.;
272, 2880 2 3005 154 0.191898 0.745928 0.021679 0.247154;
273, 2504 1 2629 154 -1.031047 0.749186 0.021679 0.24878;
274, 2129 1 2253 154 -2.25074 0.749186 0.021505 0.24878;
275, -1 -1 -1 -1 -9.380253 1.003257 0. 0.;
276, 1377 1 1502 154 -4.696631 0.749186 0.021679 0.24878;
277, 1002 1 1127 154 -5.916324 0.749186 0.021679 0.24878;
278, 626 1 751 154 -7.13927 0.749186 0.021679 0.24878;
279, 250 1 376 154 -8.358963 0.749186 0.021852 0.24878;
280, 3005 154 3130 307 0.598463 0.250814 0.021679 0.24878;
281, 2629 154 2755 241 -0.62123 0.358306 0.021852 0.141463;
282, 1127 154 1252 274 -5.50976 0.302932 0.021679 0.195122;
283, 3631 154 3756 241 2.634537 0.358306 0.021679 0.141463;
284, 3130 154 3255 274 1.005027 0.302932 0.021679 0.195122;
285, -1 -1 -1 -1 -9.380253 1.003257 0. 0.;
286, 1628 154 1753 241 -3.88025 0.358306 0.021679 0.141463;
287, 2254 154 2379 241 -1.844176 0.358306 0.021679 0.141463;
288, 1503 154 1627 208 -4.286814 0.410423 0.021505 0.087805;
289, 751 154 876 274 -6.732706 0.302932 0.021679 0.195122;
290, 376 154 501 209 -7.952399 0.410423 0.021679 0.089431;
291, 0 154 125 307 -9.175344 0.250814 0.021679 0.24878;
292, -1 -1 -1 -1 -9.380253 1.003257 0. 0.;
293, 3631 209 3756 307 2.634537 0.159609 0.021679 0.15935;
294, 3256 154 3380 241 1.414844 0.358306 0.021505 0.141463;
295, 3256 154 3505 187 1.6165 0.446254 0.043184 0.053659;
296, 3006 121 3255 154 0.803371 0.553746 0.043184 0.053659;
297, 3256 209 3380 307 1.414844 0.159609 0.021505 0.15935;
298, -1 -1 -1 -1 -9.380253 1.003257 0. 0.;
299, 3006 274 3254 307 0.803371 0.055375 0.043011 0.053659;
300, 2755 155 2879 274 -0.214666 0.302932 0.021505 0.193496;
301, 2880 154 3005 306 0.191898 0.250814 0.021679 0.247154;
302, 2504 154 2629 208 -1.031047 0.410423 0.021679 0.087805;
303, -1 -1 -1 -1 -9.380253 1.003257 0. 0.;
304, 2755 154 3004 187 -0.01301 0.446254 0.043184 0.053659;
305, -1 -1 -1 -1 -9.380253 1.003257 0. 0.;
306, 2880 274 3004 307 0.191898 0.055375 0.021505 0.053659;
307, 2630 209 2754 307 -0.62123 0.159609 0.021505 0.15935;
308, 2379 154 2504 208 -1.437612 0.410423 0.021679 0.087805;
309, 2254 154 2504 187 -1.639267 0.446254 0.043358 0.053659;
310, 2004 121 2253 154 -2.455649 0.553746 0.043184 0.053659;
311, 2254 209 2379 307 -1.844176 0.159609 0.021679 0.15935;
312, 2129 242 2254 307 -2.25074 0.107492 0.021679 0.105691;
313, 1753 154 1878 274 -3.473686 0.302932 0.021679 0.195122;
314, 1753 154 2003 187 -3.268777 0.446254 0.043358 0.053659;
315, -1 -1 -1 -1 -9.380253 1.003257 0. 0.;
316, 1753 242 1878 307 -3.473686 0.107492 0.021679 0.105691;
317, 1628 209 1753 307 -3.88025 0.159609 0.021679 0.15935;
318, 1252 154 1377 241 -5.103196 0.358306 0.021679 0.141463;
319, 1377 154 1502 208 -4.696631 0.410423 0.021679 0.087805;
320, 1253 154 1502 187 -4.898287 0.446254 0.043184 0.053659;
321, 1002 121 1252 154 -5.711416 0.553746 0.043358 0.053659;
322, 1252 209 1377 307 -5.103196 0.159609 0.021679 0.15935;
323, 1127 242 1252 307 -5.50976 0.107492 0.021679 0.105691;
324, 877 154 1002 307 -6.322889 0.250814 0.021679 0.24878;
325, 626 154 751 241 -7.13927 0.358306 0.021679 0.141463;
326, 501 154 626 209 -7.545834 0.410423 0.021679 0.089431;
327, 501 121 751 154 -7.340926 0.553746 0.043358 0.053659;
328, 752 154 1001 187 -6.527797 0.446254 0.043184 0.053659;
329, 751 242 876 307 -6.732706 0.107492 0.021679 0.105691;
330, 626 209 751 307 -7.13927 0.159609 0.021679 0.15935;
331, 250 154 376 241 -8.358963 0.358306 0.021852 0.141463;
332, 125 154 250 274 -8.76878 0.302932 0.021679 0.195122;
333, 0 121 250 154 -8.970436 0.553746 0.043358 0.053659;
334, 251 154 501 187 -8.154054 0.446254 0.043358 0.053659;
335, 250 209 376 307 -8.358963 0.159609 0.021852 0.15935;
336, 125 242 250 307 -8.76878 0.107492 0.021679 0.105691;
337, 0 274 250 307 -8.970436 0.055375 0.043358 0.053659;
338, 3506 176 3631 307 2.227973 0.214984 0.021679 0.213008;
339, 3507 274 3755 307 2.432881 0.055375 0.043011 0.053659;
340, 1503 176 1628 307 -4.286814 0.214984 0.021679 0.213008;
341, 1503 274 1752 307 -4.085159 0.055375 0.043184 0.053659;
342, 1377 176 1502 307 -4.696631 0.214984 0.021679 0.213008;
